Feature ID	Domain	Phylum	Class	Order	Family	Genus	Species
f171eed77e9d7d62a8a86658dabe564b	Eukaryota	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Telonema	uncultured_eukaryote
f1a80a5c788c30d1731db505030e7ffb	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	uncultured_eukaryote
f1b509a7508b52d86558cda99b5dd4c0	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales	Amoebophrya	uncultured_eukaryote
f1bb404798ded2f2b55af9f7889ca5af	Eukaryota	Retaria	Polycystinea	Spumellaria	Spumellaria	uncultured	uncultured_eukaryote
f1c89d35a2089f094e0d7cd956f63b79	Eukaryota	Dinoflagellata	Dinophyceae				
f1d81f8be71cca6dc0189203957bc3de	Eukaryota	Prymnesiophyceae	Prymnesiophyceae	Prymnesiophyceae	Prymnesiophyceae	Phaeocystis	Haptophyta_environmental
f1edbb32a13c804a611d28566549d2cd	Eukaryota	Tunicata	Appendicularia	Copelata	Oikopleuridae	Oikopleuridae	uncultured_eukaryote
f1f496e533b90b2385ebdd6d507d99af	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales	Amoebophrya	Amoebophrya_sp.
f20887c03d433e5d4d4d7b838c7c8622	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales	Amoebophrya	
f24b15c306339059b76f7fe7a0f8c02c	Eukaryota	Retaria	RAD_A	RAD_A	RAD_A	RAD_A	uncultured_eukaryote
f25ad6024ab69e80f8c61d764e3db20a	Eukaryota	Retaria	Polycystinea	Spumellaria	Spumellaria		
f25af6d39c7765988f8d6297fac88c56	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales	Hematodinium	
f26246c1d370d38492f1cba22bd706ee	Eukaryota	Retaria	Acantharia	Acantharea_Group_II	Acantharea_Group_II	Acantharea_Group_II	uncultured_marine
f290a4ef51779341a6fcb5e34a5a1824	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_eukaryote
f2a561ed99b7d954d8a74f6f2de7bcaf	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	uncultured_eukaryote
f2a5bc7356643e41b9c65ee11b830447	Eukaryota	Dinoflagellata	Dinophyceae				
f2e64a1f9aff03009a8ccc6a5ed1e70b	Eukaryota	Picozoa	Picozoa	Picozoa	Picozoa	Picozoa	uncultured_phototrophic
f2f1d5c3a2cffef269ec2995955d4c2c	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_eukaryote
f2fd8a5da014137170083f06f273e8e8	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Kareniaceae	Karlodinium	uncultured_dinoflagellate
f31aecff4f8aeebbb2988ba85594a7fc	Eukaryota	Dinoflagellata	Dinophyceae				
f338d4eec71fc03cff27b18a4d6f29db	Eukaryota	Picozoa	Picozoa	Picozoa	Picozoa	Picozoa	uncultured_biliphyte
f33c0a5b01216084aae9a55c8969f1ba	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	
f34eded7fdea04da5948e68f5626d875	Eukaryota	Protalveolata	Syndiniales	Syndiniales			
f37300095ce914f085a98e32bb0eb713	Eukaryota	Dinoflagellata	Dinophyceae	Gonyaulacales	Gonyaulacales	Heterodinium	uncultured_eukaryote
f3983ee46029587fd32717b358839f35	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	uncultured_eukaryote
f3a8f00b6d70dc877d3da6fcdfe80fcc	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales	Amoebophrya	uncultured_eukaryote
f3a9fd98978badad8a750929e89d4a03	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae			
f3c58d2156ba0e334efdde8f8dfa8185	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_marine
f3f0e6bc6e6bca7d46c02c4e611c8bbe	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	uncultured_Duboscquella
f3fa46ef94a4927e42d8c11b1f775ac1	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	
f41fc0e5de96d20cb0d24a3489ee0bf8	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_eukaryote
f426774b60a04c7e4da5315b31a98241	Eukaryota	Retaria	RAD_B	RAD_B	RAD_B	RAD_B	uncultured_eukaryote
f4404d1a8c99033aa5f2087d0b319e19	Eukaryota	Diatomea					
f441286dccd4d6a50fe458793b5df8c6	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_eukaryote
f4431e43ac736e6f2a3a3d2fbf595a95	Eukaryota	MAST-1	MAST-1B	MAST-1B	MAST-1B	MAST-1B	uncultured_stramenopile
f446d5048bc282ed42664c012ea2b340	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	uncultured_eukaryote
f44a629c2faa18ac43c434f96897f388	Eukaryota	Prymnesiophyceae	Prymnesiophyceae	Prymnesiophyceae	Prymnesiophyceae	Phaeocystis	Haptophyta_environmental
f4709a9cb919bebc38a3f89756649023	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	Nassophorea	uncultured	uncultured_eukaryote
f487ec44b690086df827381ae32fd86b	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	
f4a594ee01c866d0d64f60047d075c28	Eukaryota	Diatomea	Mediophyceae	Mediophyceae	Mediophyceae	Thalassiosira	
f4c3d649f6e0b4ed3020cc84deb6ba56	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellales	Mamiella	Mamiella_gilva
f4d8cbc9d6bdd8915ad24a112cd99dcc	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	uncultured_eukaryote
f504df24ffde4948b09d1ef34e33c9cb	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	uncultured	uncultured	uncultured_alveolate
f504fa3c1ef9b3a46884c81b13cd4a7c	Eukaryota	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Incertae_Sedis	Telonema	uncultured_eukaryote
f5096eff2f3b83311ae5490537a35f25	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales	Amoebophrya	uncultured_eukaryote
f52cdbf79972dc744cda749b8ae5cde6	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	uncultured_eukaryote
f5402b639b95e8604372e5b87ed5aa64	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_eukaryote
f54249c4de1eae77349bf50c6f53c72e	Eukaryota	Ciliophora	Intramacronucleata	Spirotrichea	Oligotrichia	Pseudotontonia	Pseudotontonia_simplicidens
f54caaf615586efb42fe0fd4a58d0b6e	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Gymnodinium_clade	Woloszynskia	uncultured_eukaryote
