ASV_ID	Superkingdom	Phylum	Class	Order	Family	Genus	Species	Confidence	Selected_Prefix
c37e4f0751e08732d568dfd069ae2a0d	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	NA	NA	NA	79.479	blst_
db663320fb4f9b7e35cb94467712d7c0	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	83.965	blst_
90f6443c2e0354c0740806a5078bb0f0	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA	NA	86.85	blst_
651841d48b51eefc6f2ed8d5a261cb0c	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.174	blst_
b7b27885cb73a44596895bd0026707b9	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	80.783	blst_
d70b24b4cf2b0dac25860d7f1b65f0f4	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	87.179	blst_
1b43a3a9bc8a1203b70b6bc8bcbee505	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.495	blst_
e91f0ad8078a588eee44aef0fe40fac0	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	80.903	blst_
b07338cc529087adc167953f2cfb1d1c	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	89.423	blst_
6f37f27f34ea6f0fb63f12e006d3de24	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	80.135	blst_
4406e332549e60b73f9f817f84c876ac	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	79.252	blst_
c85d2efd8616b326fffa14ca3d6b9595	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	84.615	blst_
8d7a7a007700cffccf8630531b03a977	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	uncultured Polaribacter sp.	98.575	blst_
bf54b8ce8f19a6b65bebb8baa4a1bfb8	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	81.115	blst_
953a3cbe8cacd035f3bd7bcad36c6cd7	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	82.748	blst_
ea274985720ebfda589e769a8bd02757	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	82.109	blst_
b2329f74cb0e369016015b2d3db75e5a	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	83.616	blst_
dd960fc7cf21ab9cff8f8580064bfd46	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.262	blst_
41c4cee7b094b0bd0395dd039e1d479b	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.218	blst_
2b11da1fe270968c90334667c94e44c8	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	82.692	blst_
3ababfb36478d74945351533af5a0b8b	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	82.336	blst_
32371554f3e7f0df5bba7c06d536a3e7	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter	Maribacter sp. 1_2014MBL_MicDiv	98.864	blst_
a3d0da966daaaa525e4343ef513f1eef	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	NA	NA	NA	78.502	blst_
037aae3b3264cb67b910f7f7bf8ef9b4	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	82.051	blst_
476a7dad6ad45471407c9af596724c9b	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.817	blst_
e0e1c21f70a081eec00a2d41b1e11aff	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	80.838	blst_
dfab69018051687f88301fceb524d93a	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	81.089	blst_
ed524d8638ebdf2edcefc83039eab000	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.495	blst_
6713fbb8e6c88a511dc223b6e2b87c56	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	81.481	blst_
2ee99a1d280641fe6dd9f31f2022ca49	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	81.115	blst_
60bedded9a2db933672fa61402c1a8df	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	NA	NA	NA	80.398	blst_
ff281ca735fed36fd0f2f0b4a6d53c2e	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	79.037	blst_
5b2ebc07a7a473d6708d35145dbdd0e9	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	84.688	blst_
a5a87660f8632039a86627e2192f4a5c	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	84.566	blst_
4feca15e91dd41f8448120a63cb40223	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	82.621	blst_
0c7d6db8d4ee8d7a6211be9e74d1e97e	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	81.877	blst_
df31350a52d8a5f81cc2892e25b51e24	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	87.138	blst_
34110babe030929d269982202491731f	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Candidatus Pelagibacteraceae	NA	NA	86.039	blst_
c686a9337c7cb7ff95001d52e0381004	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	NA	NA	NA	83.502	blst_
266a360844b857032b4ae344800a8d2d	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA	82.462	blst_
